occurrenceID,verbatimLocality,verbatimSex,weight,decimalLongitude,decimalLatitude,species_ID,day,month,year,name
16903,7,F,9.0,-109.0828159999964,31.938113000000413,2437874.0,6,1,1990,Reithrodontomys megalotis
16904,1,M,34.0,-109.0828289999964,31.938851000000387,2438517.0,6,1,1990,Onychomys leucogaster
16905,18,F,13.0,-109.07863299999636,31.93712600000041,2437874.0,6,1,1990,Reithrodontomys megalotis
16906,21,M,11.0,-109.07939799999636,31.936448000000453,2437874.0,6,1,1990,Reithrodontomys megalotis
16907,12,M,57.0,-109.07851899999636,31.938203000000414,2439541.0,6,1,1990,Dipodomys ordii
16908,20,M,10.0,-109.08019099999642,31.93633400000045,2437874.0,6,1,1990,Reithrodontomys megalotis
16909,19,F,12.0,-109.07791199999636,31.937438000000437,2437874.0,6,1,1990,Reithrodontomys megalotis
16910,24,M,11.0,-109.07773599999636,31.938560000000447,2437874.0,6,1,1990,Reithrodontomys megalotis
16911,20,M,7.0,-109.08019099999642,31.93633400000045,2437874.0,6,1,1990,Reithrodontomys megalotis
16912,18,M,20.0,-109.07863299999636,31.93712600000041,2437981.0,6,1,1990,Peromyscus eremicus
16913,22,M,52.0,-109.07860199999637,31.93644100000042,2439521.0,6,1,1990,Dipodomys merriami
16914,6,M,8.0,-109.07883599999636,31.93907800000041,2437874.0,6,1,1990,Reithrodontomys megalotis
16915,17,M,,-109.07941499999636,31.937117000000445,2439521.0,6,1,1990,Dipodomys merriami
16916,19,F,6.0,-109.07791199999636,31.937438000000437,2439566.0,6,1,1990,Perognathus flavus
16917,17,F,165.0,-109.07941499999636,31.937117000000445,,6,1,1990,
16918,6,M,9.0,-109.07883599999636,31.93907800000041,2437874.0,6,1,1990,Reithrodontomys megalotis
16919,18,M,10.0,-109.07863299999636,31.93712600000041,2437874.0,6,1,1990,Reithrodontomys megalotis
16920,7,M,11.0,-109.0828159999964,31.938113000000413,2437874.0,6,1,1990,Reithrodontomys megalotis
16921,1,F,56.0,-109.0828289999964,31.938851000000387,2439541.0,6,1,1990,Dipodomys ordii
16922,12,,,-109.07851899999636,31.938203000000414,2439541.0,6,1,1990,Dipodomys ordii
16923,17,M,11.0,-109.07941499999636,31.937117000000445,2437874.0,6,1,1990,Reithrodontomys megalotis
16924,1,M,55.0,-109.0828289999964,31.938851000000387,2439541.0,6,1,1990,Dipodomys ordii
16925,6,M,7.0,-109.07883599999636,31.93907800000041,2439566.0,6,1,1990,Perognathus flavus
16926,6,,,-109.07883599999636,31.93907800000041,2491757.0,6,1,1990,Amphispiza bilineata
16927,17,M,24.0,-109.07941499999636,31.937117000000445,2437981.0,6,1,1990,Peromyscus eremicus
16928,12,M,28.0,-109.07851899999636,31.938203000000414,2438516.0,6,1,1990,Onychomys torridus
16929,17,M,49.0,-109.07941499999636,31.937117000000445,2439541.0,6,1,1990,Dipodomys ordii
16930,3,M,61.0,-109.0812079999964,31.938896000000387,2438147.0,7,1,1990,Sigmodon hispidus
16931,4,M,44.0,-109.0804089999964,31.93889400000041,2439521.0,7,1,1990,Dipodomys merriami
16932,5,M,13.0,-109.07960199999636,31.93897000000045,2437864.0,7,1,1990,Reithrodontomys fulvescens
16933,11,M,41.0,-109.07930699999636,31.938056000000422,2439541.0,7,1,1990,Dipodomys ordii
16934,9,M,52.0,-109.08090299999638,31.93785900000039,2439541.0,7,1,1990,Dipodomys ordii
16935,9,M,50.0,-109.08090299999638,31.93785900000039,2439541.0,7,1,1990,Dipodomys ordii
16936,4,M,49.0,-109.0804089999964,31.93889400000041,2439521.0,7,1,1990,Dipodomys merriami
16937,9,F,49.0,-109.08090299999638,31.93785900000039,2439541.0,7,1,1990,Dipodomys ordii
16938,15,F,19.0,-109.08103599999642,31.937059000000463,2437981.0,7,1,1990,Peromyscus eremicus
16939,13,F,14.0,-109.0826129999964,31.93702800000044,2437864.0,7,1,1990,Reithrodontomys fulvescens
16940,8,M,48.0,-109.0816799999964,31.9378840000004,2439521.0,7,1,1990,Dipodomys merriami
16941,14,M,52.0,-109.0818269999964,31.937054000000447,2439541.0,7,1,1990,Dipodomys ordii
16942,3,M,22.0,-109.0812079999964,31.938896000000387,2438516.0,7,1,1990,Onychomys torridus
16943,8,F,38.0,-109.0816799999964,31.9378840000004,2439521.0,7,1,1990,Dipodomys merriami
16944,4,M,34.0,-109.0804089999964,31.93889400000041,2439521.0,7,1,1990,Dipodomys merriami
16945,10,M,11.0,-109.08009099999636,31.938017000000425,2437874.0,7,1,1990,Reithrodontomys megalotis
16946,8,F,49.0,-109.0816799999964,31.9378840000004,2439521.0,7,1,1990,Dipodomys merriami
16947,4,F,42.0,-109.0804089999964,31.93889400000041,2439521.0,7,1,1990,Dipodomys merriami
